04-09-2023,1-1 Classwork Start
04-11-2023,1-1 1st Mid Portion Completes
23-10-2023,Dussehra Recess Start
28-10-2023,Dussehra Recess End
06-11-2023,1-1 1st Mid Exams Start
10-11-2023,1-1 1st Mid Exams End
17-11-2023,1-1 1st Mid Results
13-11-2023,1-1 2nd Mid Portion Starts
12-01-2024,1-1 2nd Mid Portion Completes
16-01-2024,1-1 2nd Mid Exams Start
22-01-2024,1-1 2nd Mid Exams End
23-01-2024,1-1 Lab Externals Start
27-01-2024,1-1 Lab Externals End
24-01-2024,1-1 2nd Mid Results
29-01-2024,1-1 Semester Starts
09-02-2024,1-1 Semester Ends
12-02-2024,1-2 Classwork Start
06-04-2024,1-2 1st Mid Portion Completes
13-05-2024,Summer Vacation Starts
25-05-2024,Summer Vacation Ends
08-04-2024,1-2 1st Mid Exams Start
16-04-2024,1-2 1st Mid Exams End
20-04-2024,1-2 1st Mid Results
18-04-2024,1-2 2nd Mid Portion Starts
29-06-2024,1-2 2nd Mid Portion Ends
01-07-2024,1-2 2nd Mid Exams Starts
06-07-2024,1-2 2nd Mid Exams Ends
08-07-2024,1-2 External Lab Exams Start
12-07-2024,1-2 External Lab Exams Ends
10-07-2024,1-2 2nd Mid Results
15-07-2024,1-2 Semester Starts
27-07-2024,1-2 Semester Ends
