19-09-2023,2-1 Classwork Start
25-11-2023,2-1 1st Mid Portion Completes
23-10-2023,Dussehra Recess Start
28-10-2023,Dussehra Recess End
28-11-2023,2-1 1st Mid Exams Start
02-12-2023,2-1 1st Mid Exams End
08-12-2023,2-1 1st Mid Results
04-12-2023,2-1 2nd Mid Portion Starts
27-01-2024,2-1 2nd Mid Portion Completes
29-01-2024,2-1 2nd Mid Exams Start
03-02-2024,2-1 2nd Mid Exams End
05-02-2024,2-1 Lab Externals Start
09-02-2024,2-1 Lab Externals End
07-02-2024,2-1 2nd Mid Results
12-02-2024,2-1 Semester Starts
24-02-2024,2-1 Semester Ends
26-02-2024,2-2 Classwork Start
29-04-2024,2-2 1st Mid Portion Completes
13-05-2024,Summer Vacation Starts
25-05-2024,Summer Vacation Ends
30-04-2024,2-2 1st Mid Exams Start
04-05-2024,2-2 1st Mid Exams End
10-05-2024,2-2 1st Mid Results
06-05-2024,2-2 2nd Mid Portion Starts
12-07-2024,2-2 2nd Mid Portion Ends
15-07-2024,2-2 2nd Mid Exams Starts
20-07-2024,2-2 2nd Mid Exams Ends
22-07-2024,2-2 External Lab Exams Start
27-07-2024,2-2 External Lab Exams Ends
24-07-2024,2-2 2nd Mid Results
29-07-2024,2-2 Semester Starts
09-08-2024,2-2 Semester Ends
