31-07-2023,4-1 Classwork Start
30-09-2023,4-1 1st Mid Portion Completes
23-10-2023,Dussehra Recess Start
28-10-2023,Dussehra Recess End
03-10-2023,4-1 1st Mid Exams Start
03-10-2023,4-1 1st Mid Exams Start
07-10-2023,4-1 1st Mid Exams End
13-10-2023,4-1 1st Mid Results
09-10-2023,4-1 2nd Mid Portion Starts
08-12-2023,4-1 2nd Mid Portion Completes
11-12-2023,4-1 2nd Mid Exams Start
16-12-2023,4-1 2nd Mid Exams End
18-12-2023,4-1 Lab Externals Start
23-12-2023,4-1 Lab Externals End
28-12-2023,4-1 2nd Mid Results
27-12-2023,4-1 Semester Starts
10-01-2024,4-1 Semester Ends
12-01-2024,4-2 Classwork Start
07-03-2024,4-2 1st Mid Portion Completes
11-03-2024,4-2 1st Mid Exams Start
16-03-2024,4-2 1st Mid Exams End
22-03-2024,4-2 1st Mid Results
18-03-2024,4-2 2nd Mid Portion Starts
18-05-2024,4-2 2nd Mid Portion Ends
20-05-2024,4-2 2nd Mid Exams Starts
25-05-2024,4-2 2nd Mid Exams Ends
27-05-2024,4-2 External Lab Exams Start
01-06-2024,4-2 External Lab Exams Ends
01-06-2024,4-2 2nd Mid Results
03-06-2024,4-2 Semester Starts
15-06-2024,4-2 Semester Ends
